country_of_birth,country_of_destination,education_level,sex,number
ALB,AUS,ISCED 5/6/7/8,Male,2021.0
ALB,BGR,ISCED 5/6/7/8,Female,353.0
ALB,BGR,ISCED 5/6/7/8,Male,447.0
ALB,CAN,ISCED 5/6/7/8,Female,28995.0
ALB,CAN,ISCED 5/6/7/8,Male,25215.0
ALB,CHE,ISCED 5/6/7/8,Female,5257.565046310425
ALB,CHE,ISCED 5/6/7/8,Male,3391.3330249786377
ALB,COL,ISCED 5/6/7/8,Female,51.0
ALB,COL,ISCED 5/6/7/8,Male,84.0
ALB,CZE,ISCED 5/6/7/8,Female,682.0
ALB,CZE,ISCED 5/6/7/8,Male,730.0
ALB,DNK,ISCED 5/6/7/8,Female,667.0
ALB,DNK,ISCED 5/6/7/8,Male,467.0
ALB,ESP,ISCED 5/6/7/8,Female,3265.0
ALB,ESP,ISCED 5/6/7/8,Male,2637.0
ALB,EST,ISCED 5/6/7/8,Female,60.0
ALB,EST,ISCED 5/6/7/8,Male,76.0
ALB,FRA,ISCED 5/6/7/8,Female,17081.234137058258
ALB,FRA,ISCED 5/6/7/8,Male,10573.132703781128
ALB,GRC,ISCED 5/6/7/8,Female,97179.0
ALB,GRC,ISCED 5/6/7/8,Male,72855.0
ALB,HUN,ISCED 5/6/7/8,Female,388.0
ALB,HUN,ISCED 5/6/7/8,Male,398.0
ALB,ITA,ISCED 5/6/7/8,Female,158925.00019681454
ALB,ITA,ISCED 5/6/7/8,Male,106902.00008821487
ALB,LTU,ISCED 5/6/7/8,Female,10.0
ALB,LTU,ISCED 5/6/7/8,Male,20.0
ALB,LUX,ISCED 5/6/7/8,Female,1473.0
ALB,LUX,ISCED 5/6/7/8,Male,1158.0
ALB,LVA,ISCED 5/6/7/8,Female,23.0
ALB,LVA,ISCED 5/6/7/8,Male,15.0
ALB,NOR,ISCED 5/6/7/8,Female,1981.0
ALB,NOR,ISCED 5/6/7/8,Male,1230.0
ALB,NZL,ISCED 5/6/7/8,Female,51.0
ALB,NZL,ISCED 5/6/7/8,Male,36.0
ALB,POL,ISCED 5/6/7/8,Female,282.0
ALB,POL,ISCED 5/6/7/8,Male,492.0
ALB,PRT,ISCED 5/6/7/8,Female,153.0
ALB,PRT,ISCED 5/6/7/8,Male,38.0
ALB,SVK,ISCED 5/6/7/8,Female,20.0
ALB,SVK,ISCED 5/6/7/8,Male,39.0
ALB,SVN,ISCED 5/6/7/8,Female,90.0
ALB,SVN,ISCED 5/6/7/8,Male,25.0
ALB,SWE,ISCED 5/6/7/8,Female,5485.0
ALB,SWE,ISCED 5/6/7/8,Male,4060.0
ALB,TUR,ISCED 5/6/7/8,Female,530.0
ALB,TUR,ISCED 5/6/7/8,Male,248.0
ALB,USA,ISCED 5/6/7/8,Female,123436.0
ALB,USA,ISCED 5/6/7/8,Male,103564.0
ARG,AUS,ISCED 5/6/7/8,Female,24706.0
ARG,AUS,ISCED 5/6/7/8,Male,19375.0
ARG,BGR,ISCED 5/6/7/8,Female,77.0
ARG,BGR,ISCED 5/6/7/8,Male,103.0
ARG,CAN,ISCED 5/6/7/8,Female,30665.0
ARG,CAN,ISCED 5/6/7/8,Male,25875.0
ARG,CHE,ISCED 5/6/7/8,Female,12526.116191864014
ARG,CHE,ISCED 5/6/7/8,Male,11063.189962387085
ARG,COL,ISCED 5/6/7/8,Female,4132.0
ARG,COL,ISCED 5/6/7/8,Male,7017.0
ARG,CZE,ISCED 5/6/7/8,Female,517.0
ARG,CZE,ISCED 5/6/7/8,Male,618.0
ARG,DNK,ISCED 5/6/7/8,Female,4413.0
ARG,DNK,ISCED 5/6/7/8,Male,4816.0
ARG,ESP,ISCED 5/6/7/8,Female,278503.0
ARG,ESP,ISCED 5/6/7/8,Male,251679.0
ARG,EST,ISCED 5/6/7/8,Female,62.0
ARG,EST,ISCED 5/6/7/8,Male,212.0
ARG,FRA,ISCED 5/6/7/8,Female,26600.995844125748
ARG,FRA,ISCED 5/6/7/8,Male,18794.7081925869
ARG,GRC,ISCED 5/6/7/8,Female,618.0
ARG,GRC,ISCED 5/6/7/8,Male,390.0
ARG,HUN,ISCED 5/6/7/8,Female,597.0
ARG,HUN,ISCED 5/6/7/8,Male,776.0
ARG,ITA,ISCED 5/6/7/8,Female,38533.99970436096
ARG,ITA,ISCED 5/6/7/8,Male,27923.00005352497
ARG,LTU,ISCED 5/6/7/8,Female,44.0
ARG,LTU,ISCED 5/6/7/8,Male,50.0
ARG,LUX,ISCED 5/6/7/8,Female,889.0
ARG,LUX,ISCED 5/6/7/8,Male,861.0
